,y,x,mass,size,ecc,signal,raw_mass,ep,frame
24,11.705414012738853,299.01751592356686,178.1004705135659,1.2453736041898185,0.3067421378568005,25.523952780606578,1457.0,0.02486484427921155,0
25,13.112825458052074,128.01832208293155,294.0926559276558,1.268261020988094,0.44311241253271066,42.53992130101096,2490.0,0.01407897823122457,0
26,12.585987261146498,243.18926296633302,311.6758233987403,1.2031956236731438,0.11061084315352547,51.047905561213156,2102.0,0.016819353060572393,0
27,12.878787878787879,270.3856749311295,205.89321909689306,1.2264306875665492,0.1509117630085601,32.33034018876833,1699.0,0.02108131848730243,0
28,14.120274914089347,113.24398625429554,247.5823419718838,1.3186476463105203,0.29931486242490873,33.748337565468695,2255.0,0.015620429464343525,0
29,13.640275387263339,350.13769363166955,329.5425903451649,1.2341943932558737,0.17191926303430038,50.48070661053301,1710.0,0.02093651048136057,0
30,16.05482815057283,36.20785597381342,346.5585588655693,1.2732293311197194,0.09082843924500467,46.226714480431916,2800.0,0.012457333411209796,0
31,16.007069913589945,184.0879811468971,361.022132107913,1.1794922150274203,0.23087138907461785,57.570693494034835,2245.0,0.015693545368865497,0
32,15.760445682451254,249.24791086350976,203.6244232941725,1.2500696359433425,0.17405582894243707,30.912342812067966,1562.0,0.023068489856626496,0
33,17.05799812909261,27.85687558465856,303.1678391385381,1.319423861567366,0.388297015604556,37.71873022022972,2905.0,0.011989580815373563,0
34,17.15274949083503,143.64663951120164,278.49468478395175,1.2672435889147837,0.2901854790622919,37.43513074488965,2548.0,0.013744230696819501,0
35,16.726881720430107,219.7494623655914,263.747512066268,1.2627840891910138,0.26126838901640703,37.15153126954957,1623.0,0.022139287177186457,0
36,18.885036496350367,21.891423357664234,310.8250249727201,1.2718886468268389,0.1005453727463006,39.987526022950306,2396.0,0.014657551326631855,0
37,19.25496688741722,193.25082781456953,342.5881662108083,1.3387376677476277,0.26635170121892227,45.09231657907162,2645.0,0.01321860613327043,0
38,20.079254079254078,67.61771561771562,243.3283498417827,1.29819670517017,0.13714857786047782,31.479541762748113,1835.0,0.01942059605268709,0
39,19.81726618705036,315.1453237410072,197.1016353613508,1.2592106697417105,0.1385540056979188,27.50914910798709,1462.0,0.02477298312991506,0
40,20.772673733804474,117.73851590106007,240.77595456372205,1.2753899609196417,0.03956343787235542,32.897539139448476,1928.0,0.01842789376386707,0
41,21.108333333333334,279.09166666666664,136.12774816323508,1.3133925536563698,0.1046953648437291,16.448769569724238,1086.0,0.03430307309016561,0
42,21.810191082802547,33.745222929936304,222.62558814195737,1.2674263003234518,0.23839462345062123,34.315536516148846,2588.0,0.013522495270381879,0
